"","DHSCLUST","ID","goes_out","neglect_children","Urgues","Refuse_sex","Burns_Food","Overall","DHSID","DHSCC","DHSYEAR","CCFIPS","ADM1FIPS","ADM1FIPSNA","ADM1SALBNA","ADM1SALBCO","ADM1DHS","ADM1NAME","DHSREGCO","DHSREGNA","SOURCE","URBAN_RURA","LATNUM","LONGNUM","ALT_GPS","ALT_DEM","DATUM"
"1",1,1,0,0,0,0,0,0,"GH201400000001","GH",2014,"GH","GH09","Western","GHA010","Western",1,"Western",1,"Western","GPS","R",4.965165,-2.009094,55,65,"WGS84"
"2",1,2,1,1,1,1,0,1,"GH201400000001","GH",2014,"GH","GH09","Western","GHA010","Western",1,"Western",1,"Western","GPS","R",4.965165,-2.009094,55,65,"WGS84"
"3",1,3,0,0,0,0,0,0,"GH201400000001","GH",2014,"GH","GH09","Western","GHA010","Western",1,"Western",1,"Western","GPS","R",4.965165,-2.009094,55,65,"WGS84"
"4",1,4,0,0,0,0,0,0,"GH201400000001","GH",2014,"GH","GH09","Western","GHA010","Western",1,"Western",1,"Western","GPS","R",4.965165,-2.009094,55,65,"WGS84"
"5",1,5,0,0,0,0,0,0,"GH201400000001","GH",2014,"GH","GH09","Western","GHA010","Western",1,"Western",1,"Western","GPS","R",4.965165,-2.009094,55,65,"WGS84"
"6",1,6,0,0,0,0,0,0,"GH201400000001","GH",2014,"GH","GH09","Western","GHA010","Western",1,"Western",1,"Western","GPS","R",4.965165,-2.009094,55,65,"WGS84"
"7",1,7,0,0,0,0,0,0,"GH201400000001","GH",2014,"GH","GH09","Western","GHA010","Western",1,"Western",1,"Western","GPS","R",4.965165,-2.009094,55,65,"WGS84"
"8",1,8,0,0,0,0,0,0,"GH201400000001","GH",2014,"GH","GH09","Western","GHA010","Western",1,"Western",1,"Western","GPS","R",4.965165,-2.009094,55,65,"WGS84"
"9",1,9,0,1,0,NA,1,1,"GH201400000001","GH",2014,"GH","GH09","Western","GHA010","Western",1,"Western",1,"Western","GPS","R",4.965165,-2.009094,55,65,"WGS84"
"10",1,10,0,0,0,0,0,0,"GH201400000001","GH",2014,"GH","GH09","Western","GHA010","Western",1,"Western",1,"Western","GPS","R",4.965165,-2.009094,55,65,"WGS84"
"11",2,11,0,0,0,0,0,0,"GH201400000002","GH",2014,"GH","GH05","Eastern","GHA004","Eastern",5,"Eastern",5,"Eastern","GPS","R",5.793782,-0.400936,51,48,"WGS84"
"12",2,12,0,0,0,0,0,0,"GH201400000002","GH",2014,"GH","GH05","Eastern","GHA004","Eastern",5,"Eastern",5,"Eastern","GPS","R",5.793782,-0.400936,51,48,"WGS84"
"13",2,13,0,0,0,0,0,0,"GH201400000002","GH",2014,"GH","GH05","Eastern","GHA004","Eastern",5,"Eastern",5,"Eastern","GPS","R",5.793782,-0.400936,51,48,"WGS84"
"14",2,14,NA,1,1,0,0,1,"GH201400000002","GH",2014,"GH","GH05","Eastern","GHA004","Eastern",5,"Eastern",5,"Eastern","GPS","R",5.793782,-0.400936,51,48,"WGS84"
"15",2,15,0,0,0,0,0,0,"GH201400000002","GH",2014,"GH","GH05","Eastern","GHA004","Eastern",5,"Eastern",5,"Eastern","GPS","R",5.793782,-0.400936,51,48,"WGS84"
"16",2,16,0,0,0,0,0,0,"GH201400000002","GH",2014,"GH","GH05","Eastern","GHA004","Eastern",5,"Eastern",5,"Eastern","GPS","R",5.793782,-0.400936,51,48,"WGS84"
"17",2,17,0,0,0,0,0,0,"GH201400000002","GH",2014,"GH","GH05","Eastern","GHA004","Eastern",5,"Eastern",5,"Eastern","GPS","R",5.793782,-0.400936,51,48,"WGS84"
"18",2,18,0,0,0,0,0,0,"GH201400000002","GH",2014,"GH","GH05","Eastern","GHA004","Eastern",5,"Eastern",5,"Eastern","GPS","R",5.793782,-0.400936,51,48,"WGS84"
"19",2,19,0,0,0,0,0,0,"GH201400000002","GH",2014,"GH","GH05","Eastern","GHA004","Eastern",5,"Eastern",5,"Eastern","GPS","R",5.793782,-0.400936,51,48,"WGS84"
"20",2,20,0,0,0,0,0,0,"GH201400000002","GH",2014,"GH","GH05","Eastern","GHA004","Eastern",5,"Eastern",5,"Eastern","GPS","R",5.793782,-0.400936,51,48,"WGS84"
"21",2,21,0,0,0,0,0,0,"GH201400000002","GH",2014,"GH","GH05","Eastern","GHA004","Eastern",5,"Eastern",5,"Eastern","GPS","R",5.793782,-0.400936,51,48,"WGS84"
"22",2,22,0,0,0,0,0,0,"GH201400000002","GH",2014,"GH","GH05","Eastern","GHA004","Eastern",5,"Eastern",5,"Eastern","GPS","R",5.793782,-0.400936,51,48,"WGS84"
"23",2,23,0,0,0,0,0,0,"GH201400000002","GH",2014,"GH","GH05","Eastern","GHA004","Eastern",5,"Eastern",5,"Eastern","GPS","R",5.793782,-0.400936,51,48,"WGS84"
"24",3,24,0,0,0,0,0,0,"GH201400000003","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.742562,-1.636748,254,236,"WGS84"
"25",3,25,0,0,0,0,0,0,"GH201400000003","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.742562,-1.636748,254,236,"WGS84"
"26",3,26,0,0,0,0,0,0,"GH201400000003","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.742562,-1.636748,254,236,"WGS84"
"27",3,27,0,0,0,0,0,0,"GH201400000003","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.742562,-1.636748,254,236,"WGS84"
"28",3,28,0,0,0,0,0,0,"GH201400000003","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.742562,-1.636748,254,236,"WGS84"
"29",3,29,0,0,0,0,0,0,"GH201400000003","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.742562,-1.636748,254,236,"WGS84"
"30",3,30,0,0,0,0,0,0,"GH201400000003","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.742562,-1.636748,254,236,"WGS84"
"31",3,31,0,0,0,0,0,0,"GH201400000003","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.742562,-1.636748,254,236,"WGS84"
"32",3,32,0,0,0,0,0,0,"GH201400000003","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.742562,-1.636748,254,236,"WGS84"
"33",3,33,0,0,0,0,0,0,"GH201400000003","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.742562,-1.636748,254,236,"WGS84"
"34",3,34,0,0,0,0,0,0,"GH201400000003","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.742562,-1.636748,254,236,"WGS84"
"35",3,35,0,0,0,0,0,0,"GH201400000003","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.742562,-1.636748,254,236,"WGS84"
"36",3,36,0,0,0,0,0,0,"GH201400000003","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.742562,-1.636748,254,236,"WGS84"
"37",3,37,0,0,0,0,0,0,"GH201400000003","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.742562,-1.636748,254,236,"WGS84"
"38",3,38,0,0,0,0,0,0,"GH201400000003","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.742562,-1.636748,254,236,"WGS84"
"39",4,39,0,0,0,0,0,0,"GH201400000004","GH",2014,"GH","GH04","Central","GHA003","Central",2,"Central",2,"Central","GPS","U",5.503744,-0.413996,19,15,"WGS84"
"40",4,40,0,0,0,0,0,0,"GH201400000004","GH",2014,"GH","GH04","Central","GHA003","Central",2,"Central",2,"Central","GPS","U",5.503744,-0.413996,19,15,"WGS84"
"41",4,41,0,0,0,0,0,0,"GH201400000004","GH",2014,"GH","GH04","Central","GHA003","Central",2,"Central",2,"Central","GPS","U",5.503744,-0.413996,19,15,"WGS84"
"42",4,42,0,0,0,0,0,0,"GH201400000004","GH",2014,"GH","GH04","Central","GHA003","Central",2,"Central",2,"Central","GPS","U",5.503744,-0.413996,19,15,"WGS84"
"43",4,43,0,0,0,0,0,0,"GH201400000004","GH",2014,"GH","GH04","Central","GHA003","Central",2,"Central",2,"Central","GPS","U",5.503744,-0.413996,19,15,"WGS84"
"44",4,44,0,0,0,0,0,0,"GH201400000004","GH",2014,"GH","GH04","Central","GHA003","Central",2,"Central",2,"Central","GPS","U",5.503744,-0.413996,19,15,"WGS84"
"45",4,45,0,0,0,0,0,0,"GH201400000004","GH",2014,"GH","GH04","Central","GHA003","Central",2,"Central",2,"Central","GPS","U",5.503744,-0.413996,19,15,"WGS84"
"46",4,46,0,0,0,0,0,0,"GH201400000004","GH",2014,"GH","GH04","Central","GHA003","Central",2,"Central",2,"Central","GPS","U",5.503744,-0.413996,19,15,"WGS84"
"47",5,47,0,0,0,0,0,0,"GH201400000005","GH",2014,"GH","GH06","Northern","GHA006","Northern",8,"Northern",8,"Northern","GPS","R",10.554068,0.038188,319,0,"WGS84"
"48",5,48,0,0,0,0,0,0,"GH201400000005","GH",2014,"GH","GH06","Northern","GHA006","Northern",8,"Northern",8,"Northern","GPS","R",10.554068,0.038188,319,0,"WGS84"
"49",5,49,0,0,0,0,0,0,"GH201400000005","GH",2014,"GH","GH06","Northern","GHA006","Northern",8,"Northern",8,"Northern","GPS","R",10.554068,0.038188,319,0,"WGS84"
"50",5,50,0,0,0,0,0,0,"GH201400000005","GH",2014,"GH","GH06","Northern","GHA006","Northern",8,"Northern",8,"Northern","GPS","R",10.554068,0.038188,319,0,"WGS84"
"51",5,51,0,0,0,0,0,0,"GH201400000005","GH",2014,"GH","GH06","Northern","GHA006","Northern",8,"Northern",8,"Northern","GPS","R",10.554068,0.038188,319,0,"WGS84"
"52",5,52,0,0,0,0,0,0,"GH201400000005","GH",2014,"GH","GH06","Northern","GHA006","Northern",8,"Northern",8,"Northern","GPS","R",10.554068,0.038188,319,0,"WGS84"
"53",5,53,0,0,0,0,0,0,"GH201400000005","GH",2014,"GH","GH06","Northern","GHA006","Northern",8,"Northern",8,"Northern","GPS","R",10.554068,0.038188,319,0,"WGS84"
"54",5,54,0,0,0,0,0,0,"GH201400000005","GH",2014,"GH","GH06","Northern","GHA006","Northern",8,"Northern",8,"Northern","GPS","R",10.554068,0.038188,319,0,"WGS84"
"55",5,55,0,0,0,0,0,0,"GH201400000005","GH",2014,"GH","GH06","Northern","GHA006","Northern",8,"Northern",8,"Northern","GPS","R",10.554068,0.038188,319,0,"WGS84"
"56",5,56,0,0,0,0,0,0,"GH201400000005","GH",2014,"GH","GH06","Northern","GHA006","Northern",8,"Northern",8,"Northern","GPS","R",10.554068,0.038188,319,0,"WGS84"
"57",5,57,1,1,0,0,0,1,"GH201400000005","GH",2014,"GH","GH06","Northern","GHA006","Northern",8,"Northern",8,"Northern","GPS","R",10.554068,0.038188,319,0,"WGS84"
"58",5,58,0,0,0,0,0,0,"GH201400000005","GH",2014,"GH","GH06","Northern","GHA006","Northern",8,"Northern",8,"Northern","GPS","R",10.554068,0.038188,319,0,"WGS84"
"59",6,59,0,0,0,0,0,0,"GH201400000006","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.725353,-1.586704,296,276,"WGS84"
"60",6,60,0,0,0,0,0,0,"GH201400000006","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.725353,-1.586704,296,276,"WGS84"
"61",6,61,0,0,0,0,0,0,"GH201400000006","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.725353,-1.586704,296,276,"WGS84"
"62",6,62,0,0,0,0,0,0,"GH201400000006","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.725353,-1.586704,296,276,"WGS84"
"63",6,63,0,0,0,0,0,0,"GH201400000006","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.725353,-1.586704,296,276,"WGS84"
"64",6,64,0,0,0,0,0,0,"GH201400000006","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.725353,-1.586704,296,276,"WGS84"
"65",6,65,0,0,0,0,0,0,"GH201400000006","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.725353,-1.586704,296,276,"WGS84"
"66",6,66,0,0,0,0,0,0,"GH201400000006","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.725353,-1.586704,296,276,"WGS84"
"67",6,67,0,0,0,0,0,0,"GH201400000006","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.725353,-1.586704,296,276,"WGS84"
"68",6,68,0,0,0,0,0,0,"GH201400000006","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.725353,-1.586704,296,276,"WGS84"
"69",7,69,0,0,0,0,0,0,"GH201400000007","GH",2014,"GH","GH04","Central","GHA003","Central",2,"Central",2,"Central","GPS","R",5.493283,-1.154177,128,114,"WGS84"
"70",7,70,0,0,0,0,0,0,"GH201400000007","GH",2014,"GH","GH04","Central","GHA003","Central",2,"Central",2,"Central","GPS","R",5.493283,-1.154177,128,114,"WGS84"
"71",7,71,0,0,0,0,0,0,"GH201400000007","GH",2014,"GH","GH04","Central","GHA003","Central",2,"Central",2,"Central","GPS","R",5.493283,-1.154177,128,114,"WGS84"
"72",8,72,0,0,0,0,0,0,"GH201400000008","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.716656,-1.630634,282,289,"WGS84"
"73",8,73,0,0,0,0,0,0,"GH201400000008","GH",2014,"GH","GH02","Ashanti","GHA001","Ashanti",6,"Ashanti",6,"Ashanti","GPS","U",6.716656,-1.630634,282,289,"WGS84"
