DHSCLUST,goes_out,neglect_children,Urgues,Refuse_sex,Burns_Food,Overall,LATNUM,LONGNUM
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,NA,NA,NA,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,1,1,1,0,1,1,4.965165,-2.009094
1,0,1,1,0,0,1,4.965165,-2.009094
1,0,1,0,0,0,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,1,0,1,0,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,1,1,0,1,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,1,0,0,0,1,4.965165,-2.009094
1,0,1,0,0,0,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,1,1,0,0,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,1,0,0,0,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,1,1,1,1,1,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,1,1,0,0,0,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,1,1,1,1,1,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,1,1,1,0,0,1,4.965165,-2.009094
1,1,1,1,0,1,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,1,1,4.965165,-2.009094
1,0,1,0,0,0,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,1,0,NA,0,0,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,1,1,0,1,0,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,1,0,1,0,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,1,1,1,0,0,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,1,0,0,0,1,4.965165,-2.009094
1,1,1,1,1,0,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,1,1,0,0,0,1,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,0,1,0,0,0,1,4.965165,-2.009094
1,NA,NA,NA,NA,NA,0,4.965165,-2.009094
1,0,0,0,0,0,0,4.965165,-2.009094
1,1,0,0,0,0,1,4.965165,-2.009094
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,1,0,0,0,0,1,5.793782,-0.400936
2,1,0,0,1,0,1,5.793782,-0.400936
2,1,1,NA,0,0,1,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,1,1,0,0,0,1,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,1,1,1,1,1,1,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,1,1,0,1,0,1,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,1,0,0,1,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,1,1,1,1,0,1,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,1,0,0,0,1,5.793782,-0.400936
2,1,1,0,1,0,1,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,1,1,1,0,0,1,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,1,1,0,0,1,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,1,0,1,0,0,1,5.793782,-0.400936
2,0,0,1,NA,1,1,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,1,1,0,0,0,1,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
2,0,0,0,0,0,0,5.793782,-0.400936
3,0,0,0,0,0,0,6.742562,-1.636748
3,0,0,0,0,0,0,6.742562,-1.636748
3,0,0,0,0,0,0,6.742562,-1.636748
